?∞Ïù¥?∞ÏãúÍ∞??úÎ¶¨??Î≤àÌò∏,ÎØ∏ÏÑ∏Î®ºÏ? (????,Ï¥àÎ??∏Î®ºÏßÄ (????,?¥ÏÇ∞?îÌÉÑ??ppm),?òÎ∞ú?±Ïú†Í∏∞Ìôî?©Î¨º (ppb),?®ÎèÑ(??,?µÎèÑ(%),?åÏùå(dB),?µÌï©?§ÎÇ¥ÏßÄ??,
2024-03-20 16:59,ICW0W2000933,23,7,373,31,21.6,19,52,95
2024-03-13 8:57,ICW0W2000373,68,18,521,107,15.3,34,69,84
2024-03-20 16:59,ICW0W2000973,9,6,661,95,20.7,25,51,97
2024-03-20 16:59,ICW0W2000972,246,172,595,622,21.8,17,52,52
2024-03-20 16:59,ICW0W2000968,12,7,1026,245,26.6,18,74,84
2024-03-20 16:59,ICW0W2000944,4,3,639,6000,21.6,27,53,68
2024-03-20 16:59,ICW0W2000964,22,15,419,40,15.9,22,58,89
2024-03-20 16:59,ICW0W2000924,63,22,612,26,22.4,21,57,92
2024-03-20 16:59,ICW0W2000505,12,4,1101,250,21.3,26,73,88
2024-03-20 16:59,V01T1623100,125,41,1139,221,22.9,23,36,74
2024-03-20 16:59,V01T1623130,1,1,553,348,25.5,15,30,89
2024-03-20 16:59,V01T1623129,1,1,977,311,26.2,20,33,91
2024-03-20 16:59,V01T1623123,17,8,804,288,24.4,14,43,86
2024-03-13 15:23,V01T1623121,55,24,426,132,18,22,43,92
2024-03-20 16:58,V01T1623118,1,1,493,189,22.6,15,34,95
2024-03-20 16:58,V01T1623117,76,31,1900,439,24.1,30,46,70
2024-03-20 16:59,V01T1623116,26,12,577,187,27.7,16,36,83
2024-03-20 16:59,V01T1623113,19,9,426,140,25.9,8,31,90
2024-03-20 16:59,V01T1623112,34,16,990,399,26.4,23,44,84
2024-03-20 16:59,V01T1623109,41,18,2362,179,10.9,29,41,64
2024-03-14 8:08,V01T1623108,39,18,623,125,20.3,26,33,92
2024-03-20 16:59,V01T1623105,33,15,556,142,20.9,15,34,90
2024-03-20 16:59,V01T1623102,1,1,1408,570,27.7,17,40,71
2024-03-20 16:59,ICW0W2000503,9,3,694,470,25,24,48,86
2024-03-20 16:59,ICW0W2000455,12,4,127,48,19.8,29,61,100
2024-03-20 16:59,ICW0W2000447,14,5,667,227,20.3,25,65,94
2024-03-20 16:59,ICW0W2000459,16,5,685,13,24.2,20,64,94
2024-03-20 16:59,ICW0W2000507,7,4,953,479,26.5,23,55,85
2024-03-20 16:59,ICW0W2000501,10,3,912,2094,22.2,25,60,75
2024-03-20 16:59,ICW0W2000500,8,4,2500,169,25,18,63,72
2024-03-20 16:59,ICW0W2000380,27,9,579,25,15.9,28,70,89
2024-03-20 16:59,ICW0W2000275,20,7,516,15,16.3,28,51,94
2024-03-20 16:59,ICW0W2000388,26,7,670,209,14.7,27,48,86
2024-01-15 14:01,ICW0W2000381,8,2,2500,123,26,15,53,72
2024-03-20 16:59,ICW0W2000382,4,1,500,36,22.2,26,65,100
2023-12-01 13:35,ICW0W2000285,23,4,921,1027,14.7,22,61,70
2024-03-20 16:59,ICW0W2000287,9,3,835,121,25.4,20,55,93
2024-03-20 16:59,ICW0W2000398,20,7,449,12,24.7,16,70,92
2024-03-20 16:59,ICW0W2000974,6,4,991,644,19.1,28,47,85
2024-03-20 16:59,ICW0W2000248,12,3,2190,147,24.4,21,66,75
2024-03-20 16:59,ICW0W2000262,20,6,479,15,19.6,27,60,98
2024-03-20 16:58,ICW0W2100488,23,8,491,159,23.2,15,75,92
2024-03-20 16:58,ICW0W2100506,16,6,847,36,28.6,14,69,86
2024-03-14 9:08,ICW0W2100587,55,20,392,6000,24.8,23,69,62
2024-03-20 16:58,ICW0W2100582,26,10,621,1510,22.5,20,59,76
2024-03-20 16:58,ICW0W2100579,10,4,0,747,26.8,11,61,81
2024-03-20 16:59,ICW0W2100562,22,12,613,918,22.8,15,58,76
